山东频道,#genre#
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-6.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-7.m3u8
山东新闻,http://123.129.70.178:9901/tsfile/live/1000_1.m3u8
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-1.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-8.m3u8
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-9.m3u8
济宁公共,http://111.14.181.15:9901/tsfile/live/1009_1.m3u8
中华美食,http://kkk.jjjj.jiduo.me/api.php
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-2.m3u8
东营综合,http://m3u8-channel.lytv.tv/nmip-media/channellive/channel113571/playlist.m3u8
山东少儿,http://139.129.231.228:50060/rtp/239.21.1.208:5002
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-10.m3u8
济南鲁中,http://139.129.231.228:50060/rtp/239.21.1.149:5002
潍坊新闻综合,https://stream1.freetv.fun/ipv6-wei-fang-xin-wen-zong-he-1.m3u8
山东少儿,http://111.14.181.15:9901/tsfile/live/1005_1.m3u8
济宁公共,http://kkk.jjjj.jiduo.me/api.php
烟台新闻综合,http://live.yantaitv.cn/live/3e81a8879da44c5dadf3bd9c10468e1c/9b776d420ee4438199b7657c8eb88f07-1.m3u8
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-6.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-1.m3u8
潍坊新闻综合,https://stream1.freetv.fun/ipv6-wei-fang-xin-wen-zong-he-2.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-3.m3u8
烟台公共,http://139.129.231.228/rtp/239.21.1.117:5002
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-5.m3u8
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-2.m3u8
枣庄教育,http://kkk.jjjj.jiduo.me/api.php
烟台经济科技,http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8
枣庄公共,http://kkk.jjjj.jiduo.me/api.php
东营综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel113571/playlist.m3u8
济宁综合,http://kkk.jjjj.jiduo.me/api.php
烟台经济科技,http://kkk.jjjj.jiduo.me/api.php
山东少儿,http://58.57.40.22:9901/tsfile/live/1024_1.m3u8
枣庄新闻综合,http://stream.zztvzd.com/1/sd/live.m3u8
山东新闻,http://live.xmcdn.com/live/1440/64.m3u8
烟台新闻综合,http://kkk.jjjj.jiduo.me/api.php
山东新闻,http://ls.qingting.fm/live/60180.m3u8
山东新闻,http://139.129.231.228:50060/rtp/239.21.1.140:5002
青州综合,http://139.129.231.228/rtp/239.21.1.232:5002
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-7.m3u8
枣庄公共,http://stream.zztvzd.com/3/sd/live.m3u8
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-8.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-4.m3u8
烟台公共,http://kkk.jjjj.jiduo.me/api.php
山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-4.m3u8
枣庄教育,http://stream.zztvzd.com/2/sd/live.m3u8
山东少儿,http://123.129.70.178:9901/tsfile/live/1004_1.m3u8
山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-10.m3u8
济宁教育,http://139.129.231.228/rtp/239.21.1.139:5002
烟台公共,http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8
青州综合,http://kkk.jjjj.jiduo.me/api.php
